Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,custom cat (product.metafields.custom.custom_cat),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
donateme-app-test,DonateMe App test,<p>Donate to archive</p>,DonateMe,Uncategorized,Donation,Donation,true,Title,10,,,,,,,,donation,0.0,,9997,continue,manual,10.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0757/4106/9469/files/Add_a_subheading_akjbvk.jpg?v=1776223868,1,Image for DonateMe App test,false,,,,https://cdn.shopify.com/s/files/1/0757/4106/9469/files/Add_a_subheading_akjbvk.jpg?v=1776223868,kg,,,active
test-membership-appstle,Test membership Appstle,Membership appstle description,Bowerbird Archives,,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,15.00,,false,true,,,,,,,,,false,,,,,kg,,,active
donate-app-demo,Donate (app demo),App demo for donations,DonateMate,Software > Computer Software > Business & Productivity Software > Customer Relationship Management (CRM) Software,Donation,"DonateMate, Donation",true,Title,Ref: db135581-d820-42e6-afc8-68c053350dc0,,,,,,,,,0.0,,-1,continue,manual,10.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0757/4106/9469/files/help.jpg?v=1771911099,1,Help make a difference!,false,,,,,kg,,,active
red-snowboard,Red Snowboard,,Bowerbird Archives,,"","",false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,100.00,,true,true,,,,,,,,,false,,,,,kg,,,active
institutional-annual-membership,Institutional Annual Membership,<p>An institutional membership for the National Archives of Australia Member Program. Benefits are available to all employees within your organisation or institution. Memberships run for 12 months. Patron: His Excellency Mr Simeon Beckett SC.</p>,National Archives of Australia,,Membership,"Institutional, Membership, NAA Member Program, Organisation",true,Category,Organisation,,,,,,,,MEM-INST,0.0,,0,continue,manual,80.00,,false,false,,,,,,,,,false,Institutional Membership – National Archives of Australia,Enrol your organisation as an institutional member of the National Archives of Australia. Benefits extend to all employees. 12-month membership.,,,lb,,,active
household-annual-membership,Household Annual Membership,<p>A household membership for the National Archives of Australia Member Program. Includes up to two adults and any dependent children living at the same address. Memberships run for 12 months. Patron: His Excellency Mr Simeon Beckett SC. Concession rates available for full-time students and pension cardholders.</p>,National Archives of Australia,,Membership,"Family, Household, Membership, NAA Member Program",true,Category,ACT Resident,,,,,,,,MEM-HH-ACT,0.0,,-4,continue,manual,60.00,,false,false,,,,,,,,,false,Household Membership – National Archives of Australia,Join the National Archives as a household. Covers up to two adults and dependent children at the same address. 12-month membership with ACT and non-ACT options.,,,lb,,,active
household-annual-membership,,,,,,,,,ACT Resident (Concession),,,,,,,,MEM-HH-ACT-C,0.0,,-1,continue,manual,40.00,,false,false,,,,,,,,,,,,,,lb,,,
household-annual-membership,,,,,,,,,Non-ACT Resident,,,,,,,,MEM-HH-NACT,0.0,,0,continue,manual,40.00,,false,false,,,,,,,,,,,,,,lb,,,
household-annual-membership,,,,,,,,,Non-ACT Resident (Concession),,,,,,,,MEM-HH-NACT-C,0.0,,-1,continue,manual,30.00,,false,false,,,,,,,,,,,,,,lb,,,
individual-annual-membership,Individual Annual Membership,<p>Join the National Archives of Australia Member Program. Individual memberships run for 12 months. Patron: His Excellency Mr Simeon Beckett SC. Concession rates available for full-time students and pension cardholders.</p>,National Archives of Australia,,Membership,"Individual, Membership, NAA Member Program",true,Category,ACT Resident,,,,,,,,MEM-IND-ACT,0.0,,0,continue,manual,40.00,,false,false,,,,,,,,,false,Individual Membership – National Archives of Australia,"Become an individual member of the National Archives of Australia. 12-month membership with options for ACT and non-ACT residents, including concession rates.",,,lb,,,active
